review,sentiment
troll 2 is a movie so bad it got famous for being it and i will always love it troll 2 is not the sequel to troll from 1986 the original name for the movie was goblin it is not any trolls in the whole movie only goblins that makes the movie even better because how stupid it is grandpa seth is one favourite character ever in movie history he is like a superhero his superpower is that he can not die he just comes as a ghost so if you want to see the best movie of all time watch this but overall it was a masterpiece,positive
you often hear of movies that are so bad that they are good it is hard to point to a single movie that is like this though what some may say is so good it is bad may come off to others as just plain bad however everyone i have talked to who has seen this movie has agreed troll 2 is so horribly shamelessly bad that it is good the writing for film is more than awkward take the redundant stonehenge magic stone and the character dialogue sounds so incredibly unnatural they might as well be robots the reason for this is because the man who wrote the script and directed it claudio fragasso is a native speaker of italian he wrote the script in english when english was barely his second language the acting is absolutely terrible but who can blame them this was most likely the first and last film any of these actors have been in the costumes and special effects have that wonderful b movie quality to them while there are many blaringly obvious errors i find that the smaller ones are actually funnier actors shaking when time is supposed to be frozen or flies on their face during the climatic scenes there are so many continuity mistakes that i sometimes found myself wondering if the director was putting them in on purpose it was like every time the camera shot changed the crew completely forgot how the previous shot was set up and had the actors give their best guess on where they are supposed to be i think everyone needs to see at least a few horrible movies in their lifetime troll 2 is entertaining and hilarious especially when watched with friends the plot is ludicrous but at least you never know what is going to happen next many scenes seem completely unnecessary and this film simply does not bother to justify any of the things that happen in it the end result is a horror b movie that ends up being so horrible that you can not help but laugh the only question i find myself asking now is do i give it a 1 because it was so bad or a 10 because it was so good,positive
they say lightening does not strike twice but check out crawlers this film is produced by the people who brought you that masterpiece known as troll 2 honestly this film does not match the pure genius of troll 2 but it sure comes close first check out the alaskan setting everyone knows that alaska is beautiful and scenic but who knew it was so freaking hot that alaskan summer will kill you at least five characters complain about the ungodly alaskan heat second the boss at the nuclear power plant might be the greatest actor i have ever seen on film his tone of voice never changes its an amazing feat of line reading and i do mean line reading this man deserved an award for this performance no one can be that horrible i believe its a commentary on the robotic nature of our everyday lives this man deserves our respect third look out for those flying roots tremendous special effects work permeates this film check out that helicopter crash was that a fisher price model i do believe it was and how about the tonka truck bulldozer i guess they only had enough money to rent the real deal for a very brief time all in all this film is not quite as good as troll 2 but it come pretty close watch and learn about the true art of filmmaking,positive
well i would not go out of my way for this one its a nice idea but damn its so cheesy i really do not know what more to say its a typical exploitation movie in many ways seriously low budget very poor acting all around its fun i saw someone review say that it was being offered as a pay per view dear god nooooooooooooooooooooooooooooooo if you see it on the horror channel or something take a chance its harmless fun is there anything good i can say about the film yes a very predictable but good twist ending just like troll 2 you would not be missing out in this sequel if you can even call it that it has nothing to do with its predecessors not even under its many other names but if you want cheese worth a shot,negative
well i thought i had seen bad movies before but this one is the worst by far no plot overweight and drag queen like hero cheap plastic monsters and effects new york accents on all of the characters can you really get any worse even the background music is ridiculous often sounding japanese then techno then just non descript and drowning out the dialogue actually the music drowning out the awful dialogue is probably the best thing to say about this movie and just when you think the movie hits bottom it never fails to disappoint you in reaching yet further into poor cheap effects i am truly at a loss for words,negative
the cream of the crap this movie was literally the worst i have ever seen everything was wrong plot acting music costumes special effects script the list goes on extensively every film making mistake imaginable was made in this film yet i loved every minute of it its hard to imagine it as being a legitimate effort at making a motion picture but as far as i know it was not intended to be humorous a movie so terribly bad that it becomes so wonderfully good i would recommend it to anyone looking for a good laugh i am actually considering purchasing it that is if i can find it anywhere i doubt it,negative
this bad lad turned up on prime and brought me way back to enternia could not believe it is a 5 4 this movie is pure gold the soundtrack is awesome dolph is dolph like in every movie lubic should have been in the movie more would have been an 8 if that was the case the movie bombed due to the budget i had this bad lad on vhs and watched it well over a 100 times it is there with the goodies killer klowns big trouble in little china you either love the full on 80s flicks that age great in time or you bring it down some great memories here and most important it is a good movie even in may 2024 forget the 5 it is a 7 you have the power,positive
i have the power for those of us who grew up in the 80 s that phrase is all too familiar especially for those who would rush home after school to watch our favorite strongman face off against the forces of evil that threaten the safety and security of his homeworld for my money it was never better than when he man faced off against skeletor for the struggle for eternia i also remember the fantasies that i and my friends would have of traveling away to that world of magic and fantasy to fight alongside he man as he defends grayskull it truly was a series that was out of this world and now it is on earth when i first heard about a live action movie mind you i was twelve at the time i was overly excited about it but i did not get to see it until my late teens and i must say that it was very well done especially in its presentation in fact it brought back those far away childhood memories of those late afternoons in front of the tv or outside with the toys a make shift eternia setting with my friends i will grant a few things that were wrong with the movie though there were times that i think the script was either badly edited or just too rushed at certain points i am also not thrilled about them being on earth but understanding budget constraints and the idea to make these characters more real than fantasy help feed into that decision so i let that one go i would have also liked to see more of the characters from the toys in the movie but have no complaints that they made up a few cool characters like blade the casting choices i felt were really good dolph lundgren worked as he man even though he can not act he looked the part and even pulled off the role i could tell that he was not walking through the part as many actor will do with character roles right mr clooney and frank langella the perfect choice for skeletor langella managed to bring that character to life in a way that gave me chills skeletor is perhaps one of the greatest villains ever imagined but the cartoon made him a cackling villain who was more a buffoon than anything therefore he did not seem threatening but seeing langella make skeletor more dark and evil put my faith back into the conviction as a great villain you do not have to be a die hard fan of the series to enjoy the movie it is great fun imaginative and it captures a moment in time do not scrutinize the movie because it is different from the cartoon look at it for what it is and do not focus on its faults it had the power to recapture my imagination so its not all that bad,positive
this movie was mildly mildly entertaining mainly because you keep thinking it is bound to get better it does not but you keep thinking it must basically it is about a woman who gets married to a man who is first wife died tragically as time passes she begins to suspect that she is being haunted by the woman while this film has some creepy moments most of it is pretty boring and nothing is really scary most of you will also be able to see the ending long before it comes still it is not a ridiculously terrible movie and i am sure i have seen the main character before somewhere though i am too lazy to actually look up her actor profile,negative
when you have a disembodied skull an empty mansion a schizophrenic wife a scheming cad and a nutzo gardener throw in a minister and his wife what have you got aip s answer to insomnia the screaming skull gets points for audacity offering free caskets for anyone who dies of fright from watching the film pretty safe bet when you are lulled into a stupor by people who think they are in a production of suspense for dummies but peggy webber was a cutie anyway she had a few good moments of acting here and there especially when trying to communicate with the gardener and no one else fills a nightgown like she but that scared face she makes scary in itself whoa as a whole though there is little suspense here and everything is telegraphed like a punch thrown by a mime you can not be scared by this film it is impossible it has its moments but not enough of them however thanks to a certain mike nelson and his two robot pals there are several moments of pure joy especially in the copy they got hold of the film jumped and it was really scary one star for the screaming skull eight and a half for the mst3k version talk about a screaming bore,negative
i have been a big fan of mk since the beginning although i must admit i lost interest in the game series after part iii buying mk deception this past christmas renewed my interest in the series this movie was crap and i can not believe i bought this mess good thing i found it for 9 99 at the used bin so i was not out of much i was expecting to see a real sequel to the first movie which i found fairly entertaining i thought the first film was very good and does the game upon which it is based some justice not the case with mka the first problem is that they tried to fuse too much of mk2 with mk3 then if you are going to replace a character with another actor christopher lambert then at least make sure the new actor does a batter job than the first the first raiden was a hard ass and you knew not to mess with him the second raiden was a wuss and every time we saw him he was going through a wall weak portrayals of major mk characters was another flaw the actress who portrayed sonya blade was nowhere near as good as bridgette wilson the first sonya same could be said with cage linden ashby what was the point of even having ermac and rain in the movie if they were not going to be referred to a very weak portrayal of sindel kitana s mother and the actress who played her is not fit to act in soap operas line example kitana my mother is dead sindel as will be her daughter gimmie a break stick with the first,negative
i have been a huge fan of the mk videogames practically since the beginning and i really enjoyed the first mortal kombat movie it was not a work of art but it was fun funny colorful and had some great fight scenes anihilation though suffers from an extreme case of sequelitis with about half of the characters re cast all of which were a step down a dumb story line wooden acting effects that were less advanced than the ones in the first movie and a feeling of blah pervading the whole thing perhaps the worst thing is the fight at the end with the two really bad cg animalities a cheesy idea from the game that should have stayed in the game liu kang s dragon looked like a pear with wings and a tail definitely avoid this one if you wish to keep your glowing memories of the arcade game intact,positive
